numero carta;nome carta;descrizione
082;Rune ward;You have a deeply personal trinket that can be infused with protective magic and held as a ward by you or an ally. Describe what it is and why it's important to you. The ward's holder can spend a Hope to reduce incoming damage by 1d8. If the Ward Die result is 8, the ward's power ends after it reduces damage this turn. It can be recharged for free on your next rest. Laura Marie Neal
103;Get back up;When you take Severe damage, you can mark a Stress to reduce the severity by one threshold. Jenny Tan
124;Deft Maneuvers;Once per rest, mark a Stress to sprint anywhere within Far range without making an Agility Roll to get there. If you end this movement within Melee range of an adversary and immediately make an attack against them, gain a +1 bonus to the attack roll. Tamara Osborn
083;Unleash Chaos;At the beginning of a session, place a number of tokens equal to your Spellcast trait on this card. Make a Spellcast Roll against a target within Far range and spend any number of tokens to channel raw energy from within yourself to unleash against them. On a success, roll a number of d10s equal to the tokens you spent and deal that much magic damage to the target. Mark a Stress to replenish this card with tokens (up to your Spellcast trait). At the end of each session, clear all unspent tokens. Ernanda Souza
104;Not Good Enough;When you roll your damage dice, you can reroll any 1s or 2s. Juan Salvador Almencion
125;I See it Coming;When you're targeted by an attack made from beyond Melee range, you can mark a Stress to roll a d4 and gain a bonus to your Evasion equal to the result against the attack. Mat Wilma
084;Wall Walk;Spend a Hope to allow a creature you can touch to climb on walls and ceilings as easily as walking on the ground. This lasts until the end of the scene or you cast Wall Walk again. Julia Metzger
105;Whirlwind;When you make a successful attack against a target within Very Close range, you can spend a Hope to use the attack against all other targets within Very Close range. All additional adversaries you succeed against with this ability take half damage. Mike Pape
126;untouchable;Gain a bonus to your Evasion equal to half your Agility. Henry Peters
145;Book of Ava;Power Push: Make a Spellcast Roll against a target within Melee range. On a success, they're knocked back to Far range and take d10+2 magic damage using your Proﬁciency. Tava's Armor: Spend a Hope to give a target you can touch a +1 bonus to their Armor Score until their next rest or you cast Tava's Armor again. Ice Spike: Make a Spellcast Roll (12) to summon a large ice spike within Far range. If you use it as a weapon, make the Spellcast Roll against the target's Difficulty instead. On a success, deal d6 physical damage using your Proﬁciency. Laura Galli
166;Deft Deceiver;Spend a Hope to gain advantage on a roll to deceive or trick someone into believing a lie you tell them. Simon Pape
187;Pick and Pull;You have advantage on action rolls to pick nonmagical locks, disarm nonmagical traps, or steal items from a target (either through stealth or by force). Benjamin Ee
146;Book of Illiat;Slumber: Make a Spellcast Roll against a target within Very Close range. On a success, they're Asleep until they take damage or the GM spends a Fear on their turn to clear this condition. Arcane Barrage: Once per rest, spend any number of Hope and shoot magical projectiles that strike a target of your choice within Close range. Roll a number of d6s equal to the Hope spent and deal that much magic damage to the target. Telepathy: Spend a Hope to open a line of mental communication with one target you can see. This connection lasts until your next rest or you cast Telepathy again. Ernanda Souza
167;Enrapture;Make a Spellcast Roll against a target within Close range. On a success, they become temporarily Enraptured. While Enraptured, a target's attention is ﬁxed on you, narrowing their ﬁeld of view and drowning out any sound but your voice. Once per rest on a success, you can mark a Stress to force the Enraptured target to mark a Stress as well. Letícia Freitas
188;Rain of Blades;Spend a Hope to make a Spellcast Roll and conjure throwing blades that strike out at all targets within Very Close range. Targets you succeed against take d8+2 magic damage using your Proﬁciency. If a target you hit is Vulnerable, they take an extra 1d8 damage. Linda Lithén
168;Inspirational Words;Your speech is imbued with power. After a long rest, place a number of tokens on this card equal to your Presence. When you speak with an ally, you can spend a token from this card to give them one beneﬁt from the following options: • Your ally clears a Stress. • Your ally clears a Hit Point. • Your ally gains a Hope. When you take a long rest, clear all unspent tokens. Mat Wilma
189;Uncanny Disguise;When you have a few minutes to prepare, you can mark a Stress to don the facade of any humanoid you can picture clearly in your mind. While disguised, you have advantage on Presence Rolls to avoid scrutiny. Place a number of tokens equal to your Spellcast trait on this card. When you take an action while disguised, spend a token from this card. After the action that spends the last token is resolved, the disguise drops. Linda Lithén
208;Gifted Tracker;When you're tracking a speciﬁc creature or group of creatures based on signs of their passage, you can spend any number of Hope and ask the GM that many questions from the following list. • What direction did they go? • How long ago did they pass through? • What were they doing in this location? • How many of them were here? When you encounter creatures you've tracked in this way, gain a +1 bonus to your Evasion against them. Ernanda Souza
229;Bolt Beacon;Make a Spellcast Roll against a target within Far range. On a success, spend a Hope to send a bolt of shimmering light toward them, dealing d8+2 magic damage using your Proﬁciency. The target becomes temporarily Vulnerable and glows brightly until this condition is cleared. Anthony Jones
250;Bare Bones;When you choose not to equip armor, you have a base Armor Score of 3 + your Strength and use the following as your base damage thresholds: • Tier 1: 9/19 • Tier 2: 11/24 • Tier 3: 13/31 • Tier 4: 15/38 Simon Pape
209;Nature's tongue;You can speak the language of the natural world. When you want to speak to the plants and animals around you, make an Instinct Roll (12). On a success, they'll give you the information they know. On a roll with Fear, their knowledge might be limited or come at a cost. Additionally, before you make a Spellcast Roll while within a natural environment, you can spend a Hope to gain a +2 bonus to the roll. Simon Pape
230;Mending Touch;You lay your hands upon a creature and channel healing magic to close their wounds. When you can take a few minutes to focus on the target you're helping, you can spend 2 Hope to clear a Hit Point or a Stress on them. Once per long rest, when you spend this healing time learning something new about them or revealing something about yourself, you can clear 2 Hit Points or 2 Stress on them instead. Suzanne Helmigh
251;Forceful Push;Make an attack with your primary weapon against a target within Melee range. On a success, you deal damage and knock them back to Close range. On a success with Hope, add a d6 to your damage roll. Additionally, you can spend a Hope to make them temporarily Vulnerable. Mat Wilma
210;Vicious Entangle;Make a Spellcast Roll against a target within Far range. On a success, roots and vines reach out from the ground, dealing 1d8+1 physical damage and temporarily Restraining the target. Additionally on a success, you can spend a Hope to temporarily Restrain another adversary within Very Close range of your target. Leesha Hannigan
231;Reassurance;Once per rest, after an ally attempts an action roll but before the consequences take place, you can offer assistance or words of support. When you do, your ally can reroll their dice. Sam Key
252;I Am Your Shield;When an ally within Very Close range would take damage, you can mark a Stress to stand in the way and make yourself the target of the attack instead. When you take damage from this attack, you can mark any number of Armor Slots. Juan Salvador Almencion
085;Cinder Grasp;Make a Spellcast Roll against a target within Melee range. On a success, the target instantly bursts into flames, takes 1d20+3 magic damage, and is temporarily lit On Fire. When a creature acts while On Fire, they must take an extra 2d6 magic damage if they are still On Fire at the end of their action. Jenny Tan
107;Reckless;Mark a Stress to gain advantage on an attack. Jenny Tan
148;Book of Sitil;Adjust Appearance: You magically shift your appearance and clothing to avoid recognition. Parallela: Spend 2 Hope to cast this spell on yourself or an ally within Close range. The next time the target makes an attack, they can hit an additional target within range that their attack roll would succeed against. You can only hold this spell on one creature at a time. Illusion: Make a Spellcast Roll (14). On a success, create a temporary visual illusion no larger than you within Close range that lasts for as long as you look at it. It holds up to scrutiny until an observer is within Melee range. Laura Galli
086;Floating Eye;Spend a Hope to create a single, small floating orb that you can move anywhere within Very Far range. While this spell is active, you can see through the orb as though you're looking out from its position. You can transition between using your own senses and seeing through the orb freely. If the orb takes damage or moves out of range, the spell ends. Anthony Jones
127;Ferocity;When you cause an adversary to mark 1 or more Hit Points, you can spend 2 Hope to increase your Evasion by the number of Hit Points they marked. This bonus lasts until after the next attack made against you. Mat Wilma
149;Book of Vagras;Runic Lock: Make a Spellcast Roll (15) on an object you're touching that can close (such as a lock, chest, or box). Once per rest on a success, you can lock the object so it can only be opened by creatures of your choice. Someone with access to magic and an hour of time to study the spell can break it. Arcane Door: When you have no adversaries within Melee range, make a Spellcast Roll (13). On a success, spend a Hope to create a portal from where you are to a point within Far range you can see. It closes once a creature has passed through it. Reveal: Make a Spellcast Roll. If there is anything magically hidden within Close range the roll would succeed against, it is revealed. Mike Pape
106;A Soldier's Bond;Once per long rest, when you compliment someone or ask them about something they're good at, you can both gain 3 Hope. Mila Pesic
128;Strategic Approach;After a long rest, place a number of tokens equal to your Knowledge on this card (minimum 1). The ﬁrst time you move within Close range of an adversary and make an attack against them, you can spend one token to choose one of the following options: • You make the attack with advantage. • You clear a Stress on an ally within Melee range of the adversary. • You add a d8 to your damage roll. When you take a long rest, clear all unspent tokens. Julia Metzger
169;Tell No Lies;Make a Spellcast Roll against a target within Very Close range. On a success, they can't lie to you while they remain within Close range, but they are not compelled to speak. If you ask them a question and they refuse to answer, they must mark a Stress and the effect ends. The target is typically unaware this spell has been cast on them until it causes them to utter the truth. Arturo Gutiérrez González
170;Troublemaker;When you taunt or provoke a target within Far range, make a Presence Roll against them. Once per rest on a success, roll a number of d4s equal to your Proﬁciency. The target must mark Stress equal to the highest result rolled. Anthony Jones
211;Conjure Swarm;Tekaira Armored Beetles: Mark a Stress to conjure armored beetles that encircle you. When you next take damage, reduce the severity by one threshold. You can spend a Hope to keep the beetles conjured after taking damage. Fire Flies: Make a Spellcast Roll against all adversaries within Close range. Spend a Hope to deal 2d8+3 magic damage to targets you succeeded against. Jen Estirdalin Pattison
233;Healing Hands;Make a Spellcast Roll (13) and target a creature other than yourself within Melee range. On a success, mark a Stress to clear 2 Hit Points or 2 Stress on the target. On a failure, mark a Stress to clear a Hit Point or a Stress on the target. You can't heal the same target again until your next long rest. Samantha Kung
190;Midnight Spirit;Spend a Hope to summon a humanoid-sized spirit that can move or carry things for you until your next rest. You can also send it to attack an adversary. When you do, make a Spellcast Roll against a target within Very Far range. On a success, the spirit moves into Melee range with that target. Roll a number of d6s equal to your Spellcast trait and deal that much magic damage to the target. The spirit then dissipates. You can only have one spirit at a time. Reiko Murakami
212;Natural Familiar;Spend a Hope to summon a small nature spirit or forest critter to your side until your next rest, you cast Natural Familiar again, or the familiar is targeted by an attack. If you spend an additional Hope, you can summon a familiar that flies. You can communicate with them, make a Spellcast Roll to command them to perform simple tasks, and mark a Stress to see through their eyes. When you deal damage to an adversary within Melee range of your familiar, you add a d6 to your damage roll. Leesha Hannigan
253;Body Basher;You use the full force of your body in a ﬁght. On a successful attack using a weapon with a Melee range, gain a bonus to your damage roll equal to your Strength. Ilya Royz
191;Shadowbind;Make a Spellcast Roll against all adversaries within Very Close range. Targets you succeed against are temporarily Restrained as their shadow binds them in place. Adam Barker
232;Final Words;You can infuse a corpse with a moment of life to speak with it. Make a Spellcast Roll (13). On a success with Hope, the corpse answers up to three questions. On a success with Fear, the corpse answers one question. The corpse answers truthfully, but it can't impart information it didn't know in life. On a failure, or once the corpse has ﬁnished answering your questions, the body turns to dust. Bear Frymire
254;Bold Presence;When you make a Presence Roll, you can spend a Hope to add your Strength to the roll. Additionally, once per rest when you would gain a condition, you can describe how your bold presence aids you in the situation and avoid gaining the condition. Bear Frymire
087;Counterspell;You can interrupt a magical effect taking place by making a reaction roll using your Spellcast trait. On a success, the effect stops and any consequences are avoided, and this card is placed in your vault. Dominik Mayer
109;Versatile Fighter;You can use a different character trait for an equipped weapon, rather than the trait the weapon calls for. When you deal damage, you can mark a Stress to use the maximum result of one of your damage dice instead of rolling it. KarrahE
150;Book of Korvax;Levitation: Make a Spellcast Roll to temporarily lift a target you can see up into the air and move them within Close range of their original position. Recant: Spend a Hope to force a target within Melee range to make a Reaction Roll (15). On a failure, they forget the last minute of your conversation. Rune Circle: Mark a Stress to create a temporary magical circle on the ground where you stand. All adversaries within Melee range, or who enter Melee range, take 2d12+4 magic damage and are knocked back to Very Close range. Rick Hefner
088;Flight;Make a Spellcast Roll (15). On a success, place a number of tokens equal to your Agility on this card (minimum 1). When you make an action roll while flying, spend a token from this card. After the action that spends the last token is resolved, you descend to the ground directly below you. Samantha Kung
129;Brace;When you mark an Armor Slot to reduce incoming damage, you can mark a Stress to mark an additional Armor Slot. Rick Hefner
151;Book of Norai;Mystic Tether: Make a Spellcast Roll against a target within Far range. On a success, they're temporarily Restrained and must mark a Stress. If you target a flying creature, this spell grounds and temporarily Restrains them. Fireball: Make a Spellcast Roll against a target within Very Far range. On a success, hurl a sphere of ﬁre toward them that explodes on impact. The target and all creatures within Very Close range of them must make a Reaction Roll (13). Targets who fail take d20+5 magic damage using your Proﬁciency. Targets who succeed take half damage. Simon Pape
108;Scramble;Once per rest, when a creature within Melee range would deal damage to you, you can avoid the attack and safely move out of Melee range of the enemy. Ilya Royz
130;Tactician;When you Help an Ally, they can spend a Hope to add one of your Experiences to their roll alongside your advantage die. When making a Tag Team Roll, you can roll a d20 as your Hope Die. Kristina Gehrmann
171;Hypnotic Shimmer;Make a Spellcast Roll against all adversaries in front of you within Close range. Once per rest on a success, create an illusion of flashing colors and lights that temporarily Stuns targets you succeed against and forces them to mark a Stress. While Stunned, they can't use reactions and can't take any other actions until they clear this condition. Edgar Cardona
172;Invisibility;Make a Spellcast Roll (10). On a success, mark a Stress and choose yourself or an ally within Melee range to become Invisible. An Invisible creature can't be seen except through magical means and attack rolls against them are made with disadvantage. Place a number of tokens on this card equal to your Spellcast trait. When the Invisible creature takes an action, spend a token from this card. After the action that spends the last token is resolved, the effect ends. You can only hold Invisibility on one creature at a time. Bear Frymire
213;Corrosive Projectile;Make a Spellcast Roll against a target within Far range. On a success, deal d6+4 magic damage using your Proﬁciency. Additionally, mark 2 or more Stress to make them permanently Corroded. While a target is Corroded, they gain a -1 penalty to their Difficulty for every 2 Stress you spent. This condition can stack. Anthony Jones
235;VOICE OF REASON;You speak with an unmatched power and authority. You have advantage on action rolls to de-escalate violent situations or convince someone to follow your lead. Additionally, you're emboldened in moments of duress. When all of your Stress slots are marked, you gain a +1 bonus to your Proﬁciency for damage rolls. Stanislav Sherbakov
192;Chokehold;When you position yourself behind a creature who's about your size, you can mark a Stress to pull them into a chokehold, making them temporarily Vulnerable. When a creature attacks a target who is Vulnerable in this way, they deal an extra 2d6 damage. Anthony Jones
214;TOWERING Stalk;Once per rest, you can conjure a thick, twisting stalk within Close range that can be easily climbed. Its height can grow up to Far range. Mark a Stress to use this spell as an attack. Make a Spellcast Roll against an adversary or group of adversaries within Close range. The erupting stalk lifts targets you succeed against into the air and drops them, dealing d8 physical damage using your Proﬁciency. Anthony Avon
255;Critical Inspiration;Once per rest, when you critically succeed on an attack, all allies within Very Close range can clear a Stress or gain a Hope. Suzanne Helmigh
193;Veil of Night;Make a Spellcast Roll (13). On a success, you can create a temporary curtain of darkness between two points within Far range. Only you can see through this darkness. You're considered Hidden to adversaries on the other side of the veil, and you have advantage on attacks you make through the darkness. The veil remains until you cast another spell. Joshua Rodriguez
234;Second Wind;Once per rest, when you succeed on an attack against an adversary, you can clear 3 Stress or a Hit Point. On a success with Hope, you also clear 3 Stress or a Hit Point on an ally within Close range of you. Mauro Alocci
256;Lean On Me;Once per long rest, when you console or inspire an ally who failed an action roll, you can both clear 2 Stress. Jenny Tan
089;Blink OuT;Make a Spellcast Roll (12). On a success, spend a Hope to teleport to another point you can see within Far range. If any willing creatures are within Very Close range, spend an additional Hope for each creature to bring them with you. Dominik Mayer
111;Fortified Armor;While you are wearing armor, gain a +2 bonus to your damage thresholds. Henrik Rosenborg
152;Book of Exota;Repudiate: You can interrupt a magical effect taking place. Make a reaction roll using your Spellcast trait. Once per rest on a success, the effect stops and any consequences are avoided. Create Construct: Spend a Hope to choose a group of objects around you and create an animated construct from them that obeys basic commands. Make a Spellcast Roll to command them to take action. When necessary, they share your Evasion and traits and their attacks deal 2d10+3 physical damage. You can only maintain one construct at a time, and they fall apart when they take any amount of damage. Laura Galli
090;Preservation Blast;Make a Spellcast Roll against all targets within Melee range. Targets you succeed against are forced back to Far range and take d8+3 magic damage using your Spellcast trait. Daarken
131;Boost;Mark a Stress to boost off a willing ally within Close range, fling yourself into the air, and perform an aerial attack against a target within Far range. You have advantage on the attack, add a d10 to the damage roll, and end your move within Melee range of the target. Bear Frymire
153;Book of Grynn;Arcane Deflection: Once per long rest, spend a Hope to negate the damage of an attack targeting you or an ally within Very Close range. Time Lock: Target an object within Far range. That object stops in time and space exactly where it is until your next rest. If a creature tries to move it, make a Spellcast Roll against them to maintain this spell. Wall of Flame: Make a Spellcast Roll (15). On a success, create a temporary wall of magical flame between two points within Far range. All creatures in its path must choose a side to be on, and anything that subsequently passes through the wall takes 4d10+3 magic damage. Cybercatbug
110;Deadly Focus;Once per rest, you can apply all your focus toward a target of your choice. Until you attack another creature, you defeat the target, or the battle ends, gain a +1 bonus to your Proﬁciency. Rafater
132;REDIRECT;When an attack made against you from beyond Melee range fails, roll a number of d6s equal to your Proﬁciency. If any roll a 6, you can mark a Stress to redirect the attack to damage an adversary within Very Close range instead. Jenny Tan
173;Soothing Speech;During a short rest, when you take the time to comfort another character while using the Tend to Wounds downtime move on them, clear an additional Hit Point on that character. When you do, you also clear 2 Hit Points. Anthony Jones
174;Through Your Eyes;Choose a target within Very Far range. You can see through their eyes and hear through their ears. You can transition between using your own senses or the target's freely until you cast another spell or until your next rest. Edgar Cardona
215;DeaStphelGlrip;Make a Spellcast Roll against a target within Close range and choose one of the following options: • You pull the target into Melee range or pull yourself into Melee range of them. • You constrict the target and force them to mark 2 Stress. • All adversaries between you and the target must succeed on a Reaction Roll (13) or be hit by vines, taking 3d6+2 physical damage. On a success, vines reach out from your hands, causing the chosen effect and temporarily Restraining the target. Arturo Gutiérrez González
237;life ward;Spend 3 Hope and choose an ally within Close range. They are marked with a glowing sigil of protection. When this ally would make a death move, they clear a Hit Point instead. This effect ends when it saves the target from a death move, you cast Life Ward on another target, or you take a long rest. Simon Pape
194;Stealth Expertise;When you roll with Fear while attempting to move unnoticed through a dangerous area, you can mark a Stress to roll with Hope instead. If an ally within Close range is also attempting to move unnoticed and rolls with Fear, you can mark a Stress to change their result to a roll with Hope. Carlos C Díaz
216;Healing Field;Once per long rest, you can conjure a ﬁeld of healing plants around you. Everywhere within Close range of you bursts to life with vibrant nature, allowing you and all allies in the area to clear a Hit Point. Spend 2 Hope to allow you and all allies to clear 2 Hit Points instead. Bear Frymire
257;Goad Them On;Describe how you taunt a target within Close range, then make a Presence Roll against them. On a success, the target must mark a Stress, and the next time the GM spotlights them, they must target you with an attack, which they make with disadvantage. Anthony Jones
195;glyph of nightfall;Make a Spellcast Roll against a target within Very Close range. On a success, spend a Hope to conjure a dark glyph upon their body that exposes their weak points, temporarily reducing the target's Difficulty by a value equal to your Knowledge (minimum 1). Anthony Jones
236;Divination;Once per long rest, spend 3 Hope to reach out to the forces beyond and ask one "yes or no" question about an event, person, place, or situation in the near future. For a moment, the present falls away and you see the answer before you. Diana Bakieva
258;Support Tank;When an ally within Close range fails a roll, you can spend 2 Hope to allow them to reroll either their Hope or Fear Die. James Green
091;Chain Lightning;Mark 2 Stress to make a Spellcast Roll, unleashing lightning on all targets within Close range. Targets you succeed against must make a reaction roll with a Difficulty equal to the result of your Spellcast Roll. Targets who fail take 2d8+4 magic damage. Additional adversaries not already targeted by Chain Lightning and within Close range of previous targets who took damage must also make the reaction roll. Targets who fail take 2d8+4 magic damage. This chain continues until there are no more adversaries within range. Bear Frymire
113;Vitality;When you choose this card, permanently gain two of the following beneﬁts: • One Stress slot • One Hit Point slot • +2 bonus to your damage thresholds Then place this card in your vault permanently. Juan Salvador Almencion
154;Manifest wall;Make a Spellcast Roll (15). Once per rest on a success, spend a Hope to create a temporary magical wall between two points within Far range. It can be up to 50 feet high and form at any angle. Creatures or objects in its path are shunted to a side of your choice. The wall stays up until your next rest or you cast Manifest Wall again. Ilya Royz
092;Premonition;You can channel arcane energy to have visions of the future. Once per long rest, immediately after the GM conveys the consequences of a roll you made, you can rescind the move and consequences like they never happened and make another move instead. Ivan Koltovich
133;Know Thy Enemy;When observing a creature, you can make an Instinct Roll against them. On a success, spend a Hope and ask the GM for one set of information about the target from the following options: • Their unmarked Hit Points and Stress. • Their Difficulty and damage thresholds. • Their tactics and standard attack damage dice. • Their features and Experiences. Additionally on a success, you can mark a Stress to remove a Fear from the GM's Fear Pool. Grant Griffin
112;champion's Edge;When you critically succeed on an attack, you can spend up to 3 Hope and choose one of the following options for each Hope spent: • You clear a Hit Point. • You clear an Armor Slot. • The target must mark an additional Hit Point. You can't choose the same option more than once. Samantha B. Lucas
134;Signature Move;Name and describe your signature combat move. Once per rest, when you perform this signature move as part of an action you're taking, you can roll a d20 as your Hope Die. On a success, clear a Stress. Bear Frymire
175;Thought Delver;You can peek into the minds of others. Spend a Hope to read the vague surface thoughts of a target within Far range. Make a Spellcast Roll against the target to delve for deeper, more hidden thoughts. On a roll with Fear, the target might, at the GM's discretion, become aware that you're reading their thoughts. Cybercatbug
176;Words of Discord;Whisper words of discord to an adversary within Melee range and make a Spellcast Roll (13). On a success, the target must mark a Stress and make an attack against another adversary instead of against you or your allies. Once this attack is over, the target realizes what happened. The next time you cast Words of Discord on them, gain a -5 penalty to the Spellcast Roll. Anthony Jones
217;Thorn Skin;Once per rest, spend a Hope to sprout thorns all over your body. When you do, place a number of tokens equal to your Spellcast trait on this card. When you take damage, you can spend any number of tokens to roll that number of d6s. Add the results together and reduce the incoming damage by that amount. If you're within Melee range of the attacker, deal that amount of damage back to them. When you take a rest, clear all unspent tokens. Jack Jones
